# Selection : patch(inlet)
# Faces  :    30
# Area   :    2.540000e-05
# Time        	areaAverage(p)	areaAverage(U)
0             	0.000000e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.000119048   	1.559081e+04	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00019685    	1.130003e+01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.000282095   	5.431409e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00037125    	-8.325253e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00046565    	-6.131678e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.000566011   	-6.344698e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.000669682   	-5.745900e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.000778174   	-5.930577e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00088928    	-5.300378e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00100316    	-5.160575e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00112001    	-5.056378e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00124001    	-4.830750e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00136339    	-4.804720e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00148855    	-4.565894e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00161752    	-4.462817e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00174849    	-4.173786e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00188158    	-3.945007e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00201689    	-3.663990e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00215453    	-3.533067e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00229217    	-3.237671e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00243231    	-3.144669e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00257245    	-2.874045e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00271259    	-2.832570e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00285549    	-2.658167e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00299838    	-2.580215e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00314127    	-2.544544e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0032872     	-2.446141e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00343313    	-2.412204e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00357906    	-2.447652e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00372838    	-2.405471e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00387771    	-2.499576e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
