# Selection : patch(inlet)
# Faces  :    30
# Area   :    2.540000e-05
# Time        	areaAverage(p)	areaAverage(U)
0             	0.000000e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.000119048   	1.559167e+04	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00019685    	2.810022e+01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.000284379   	3.798261e+01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.000375179   	1.073771e+01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.000472399   	1.259086e+01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.000573757   	1.184755e+01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.000679669   	1.170138e+01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00078932    	1.139852e+01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.000903032   	1.135536e+01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00101966    	1.119599e+01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0011394     	1.108542e+01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00126246    	1.101432e+01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00138909    	1.087118e+01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00151761    	1.085957e+01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00164811    	1.081994e+01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00178068    	1.089372e+01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00191542    	1.090175e+01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00205245    	1.103184e+01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00219188    	1.107904e+01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00233385    	1.125014e+01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00247581    	1.128358e+01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00261778    	1.142245e+01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00276253    	1.145904e+01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00290728    	1.151266e+01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00305203    	1.155210e+01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00319986    	1.147418e+01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00334769    	1.146494e+01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00349552    	1.145204e+01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00364334    	1.141859e+01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00379469    	1.136090e+01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00394604    	1.130845e+01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00409739    	1.123075e+01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00425272    	1.114071e+01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00440806    	1.105932e+01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00456339    	1.096208e+01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00472329    	1.083790e+01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00488319    	1.072459e+01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00504309    	1.058905e+01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00520832    	1.044368e+01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00537355    	1.030350e+01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00553878    	1.015200e+01	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00570401    	9.993795e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00587585    	9.801013e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00604769    	9.651454e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00621953    	9.480258e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00639137    	9.301552e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00656321    	9.130412e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00673505    	8.953438e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00690689    	8.781631e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00708883    	8.567979e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00727078    	8.423994e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00745273    	8.255852e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00763468    	8.087454e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00781663    	7.928983e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00799857    	7.769805e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00818052    	7.618149e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00836247    	7.464650e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00854442    	7.321329e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00872637    	7.177110e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00890831    	7.044942e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00909026    	6.910039e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00927221    	6.790426e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00945416    	6.661897e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0096361     	6.551788e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.00981805    	6.434069e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.01          	6.331068e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0102041     	6.206531e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0104082     	6.106779e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0106122     	5.999380e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0108209     	5.893043e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0110295     	5.795190e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0112381     	5.698398e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0114467     	5.610618e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0116553     	5.524182e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0118639     	5.448560e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0120781     	5.372947e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0122922     	5.304841e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0125063     	5.248452e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0127204     	5.191462e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0129345     	5.144266e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0131486     	5.101168e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0133627     	5.063584e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0135768     	5.031915e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0137983     	5.010552e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0140198     	4.984139e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0142413     	4.977780e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0144628     	4.964438e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0146842     	4.970634e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0149057     	4.973529e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0151272     	4.989972e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0153487     	5.008918e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0155702     	5.037898e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0157917     	5.073551e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0160132     	5.113845e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0162347     	5.159480e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0164562     	5.217874e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0166777     	5.277505e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0168991     	5.341722e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0171206     	5.410387e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0173421     	5.485334e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0175636     	5.561904e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0177851     	5.642587e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0180066     	5.727651e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0182281     	5.813658e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0184496     	5.906735e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0186711     	5.991479e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0188926     	6.082201e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.019114      	6.168387e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0193355     	6.251424e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.019557      	6.337239e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0197785     	6.411877e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.02          	6.489660e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0202273     	6.557123e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0204545     	6.624460e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0206818     	6.663888e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0209091     	6.720283e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0211364     	6.752828e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0213636     	6.783720e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0215909     	6.796943e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0218182     	6.803183e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0220455     	6.795684e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0222727     	6.773723e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0225        	6.745379e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0227273     	6.695530e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0229545     	6.644455e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0231818     	6.568007e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0234091     	6.490263e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
0.0236364     	6.392430e+00	(1.000000e+01 0.000000e+00 0.000000e+00)
